Designator,Mid X,Mid Y,Rotation,Layer
C1,98.0,-58.6375,270.0,top
C10,68.3625,-71.5,180.0,top
C11,89.7375,-84.0,0.0,top
C12,66.4,-69.2,0.0,top
C13,98.2725,-63.9175,90.0,top
C14,92.1725,-69.105,270.0,top
C15,93.5,-63.9,90.0,top
C16,91.8725,-63.88,90.0,top
C17,96.6725,-63.9175,90.0,top
C18,95.1,-63.9375,90.0,top
C19,69.2,-66.2375,90.0,top
C2,60.3,-59.8,90.0,top
C3,66.4,-56.7375,90.0,top
C4,68.1,-56.7375,90.0,top
C5,69.8,-56.7,90.0,top
C6,83.7,-78.4,0.0,top
C7,60.3,-77.2,90.0,top
C8,63.025,-80.7,0.0,top
C9,68.5625,-80.8,180.0,top
D1,68.8125,-86.7,0.0,top
D2,89.7225,-81.65,180.0,top
J1,79.0,-84.315,0.0,top
R1,92.2,-57.3,90.0,top
R2,66.0,-60.5,270.0,top
R3,77.7,-77.4,90.0,top
R4,80.8,-77.4,90.0,top
R5,69.5,-83.9,270.0,top
R6,93.5,-74.5,0.0,top
R7,93.5,-76.5,0.0,top
R8,68.0,-61.0,270.0,top
R9,70.0,-61.0,270.0,top
SW1,95.2,-58.4,90.0,top
SW2,63.1,-59.8,270.0,top
U1,80.7,-61.44,0.0,top
U2,65.7125,-76.1,180.0,top
U3,66.0,-66.3475,0.0,top
U4,95.7175,-68.2175,0.0,top
